ExpiryDate,SecurityName,Side,Quantity,Price,ClientId,brokerid,Type
28-Oct-25,NIFTY25OCT24800PE,Buy,75,1.25,STV001,BRK01,T
28-Oct-25,NIFTY25OCT25400CE,Sell,75,490,STV001,BRK01,D
28-Oct-25,NIFTY25OCT24800CE,Buy,75,1090,STV001,BRK01,D
28-Oct-25,CYIENT25OCTFUT,Buy,425,1193.8,STV001,BRK01,D
28-Oct-25,SBIN25OCTFUT,Buy,750,929,STV002,BRK01,D
25-Nov-25,CYIENT25NOVFUT,Buy,425,1201.1,STV001,BRK01,D
25-Nov-25,AMBUJACEM25NOVFUT,Buy,1050,558,STV001,BRK01,T
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13442.45,STV001,BRK01,T
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13443,STV001,BRK01,T
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13443,STV001,BRK01,T
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13443,STV001,BRK01,T
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13443,STV001,BRK01,T
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13443,STV001,BRK01,D
25-Nov-25,MIDCPNIFTY25NOVFUT,Buy,140,13443,STV001,BRK01,D
25-Nov-25,BSE25NOVFUT,Sell,1125,2438.6,STV002,BRK01,D
25-Nov-25,APLAPOLLO25NOVFUT,Sell,350,1788.1,STV001,BRK01,D
25-Nov-25,APLAPOLLO25NOVFUT,Sell,700,1788.1,STV001,BRK01,D
