SecurityName,Side,ClientId,brokerid,Type,BuyAvg,BuyQty,SellQty,SellAvg
NIFTY25OCT24800PE,sell,STV001,BRK01,T,0.0,0,1000,150.5
NIFTY25OCT25400CE,buy,STV001,BRK01,D,200.75,1000,0,0.0
NIFTY25OCT24800CE,sell,STV001,BRK01,D,0.0,0,500,180.25
CYIENT25OCTFUT,sell,STV001,BRK01,D,0.0,0,200,850.0
SBIN25OCTFUT,sell,STV002,BRK01,D,0.0,0,300,625.5
CYIENT25NOVFUT,sell,STV001,BRK01,D,0.0,0,150,875.0
AMBUJACEM25NOVFUT,sell,STV001,BRK01,T,0.0,0,400,520.25
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,T,0.0,0,100,12500.0
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,T,0.0,0,50,12510.5
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,T,0.0,0,75,12505.75
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,T,0.0,0,100,12515.0
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,T,0.0,0,80,12520.25
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,D,0.0,0,60,12525.0
MIDCPNIFTY25NOVFUT,sell,STV001,BRK01,D,0.0,0,40,12530.5
BSE25NOVFUT,buy,STV002,BRK01,D,3250.75,200,0,0.0
APLAPOLLO25NOVFUT,buy,STV001,BRK01,D,1450.25,300,0,0.0
APLAPOLLO25NOVFUT,buy,STV001,BRK01,D,1455.0,150,0,0.0
TATASTEEL25NOVFUT,sell,STV002,BRK01,D,0.0,0,250,1150.5
